Sentence,Tags,SentenceFrequency,EnglishTrans,EnglishFreq,SpanishTrans,SpanishFreq
 ¿Me estaré volviendo loca ?, Spn Spn Spn Spn,,Am I going crazy?,,,
" I’m so alone "" alone "" ALONE .", Spn Eng Eng Punct Eng Punct Eng,,"I'm so alone "" alone "" ALONE .",,,
 .,,,.,,,
 .,,,.,,,
" ” Sola con mis precious felt-tipped pens y y mis Chinese cuadernos from Little Ricky’s en New York y mis libros de segunda mano "" me aferraba a la incongruente idea de que mi vida and my writing—8 the two were inseparable—were enabled "" somehow "" por esa breve nube de jacarandá "" which seemed to shimmer and float sólo para mí "" just below my 7th floor balcony window .", Punct Spn Spn Spn Eng Eng Eng Spn Spn Spn NamedEnt Spn Eng Eng NamedEnt Spn Eng Eng Spn Spn Spn Spn Spn Spn Punct Spn Spn Spn Spn Spn Eng Spn Spn Spn Spn Eng Eng Eng Eng Eng Eng Eng Eng Punct Eng Punct Spn Spn Spn Spn Spn Spn Punct Eng Eng Eng Eng Eng Eng Spn Spn Spn Punct Eng Eng Eng Spn Eng Eng Eng,,"Alone with my precious felt-tipped pens and Chinese notebooks from Little Ricky's in New York and my second-hand books,"" I clung to the incongruous idea that my life and my writing-8 the two were inseparable-were enabled ""somehow"" by that brief cloud of jacaranda ""which seemed to shimmer and float just for me"" just below my 7th floor balcony window.",,,
" Sólo luego vendría a reconocer "" a entender the special "" secret bond between the jacarandas and me .", Spn Spn Spn Spn Spn Punct Spn Spn Eng Eng Punct Eng Eng Eng Eng Spn Eng Spn,,"Only later would I come to recognize ""to understand the special"" secret bond between the jacarandas and me .",,,
 Una necesidad ., Spn Spn,,A necessity .,,,
 Un destino cartográfico ., Spn Spn Spn,,A cartographic destination .,,,
" De geografía "" latitudes .", Spn Spn Punct Spn,,"Of geography "" latitudes .",,,
" Renuncié la boludez de mi northern California snobbery cuando me mudé al Evil ( OK "" it’s the Inland ) Empire "" the easternmost edge de Los Angeles County .", Spn Spn Spn Spn Spn Eng NamedEnt Eng Spn Spn Spn Spn Eng Punct Spn Punct Eng Eng Eng Punct Spn Punct Eng Eng Eng Spn Spn Spn NamedEnt,,"I gave up my northern California snobbery when I moved to the Evil ( OK "" it's the Inland ) Empire "" the easternmost edge of Los Angeles County .",,,
" Ugh "" había pensado years before "" una vez cuando me desviaron al Ontario Airport "" right smack en medio del Evil "" en vez del John Wayne Airport de Orange County .", NamedEnt Punct Spn Spn Eng Eng Punct Spn Spn Spn Spn Spn Spn NamedEnt NamedEnt Punct Eng Eng Spn Spn Spn Eng Punct Spn Spn Spn NamedEnt NamedEnt NamedEnt Spn Eng NamedEnt,,"Ugh"" I had thought years before ""once when I was diverted to the Ontario Airport ""right smack in the middle of the Evil"" instead of Orange County's John Wayne Airport .",,,
" I’d never even heard of “ Ontario "" California .", Spn Eng Eng Eng Eng Punct NamedEnt Punct NamedEnt,,"I'd never even heard of ""Ontario"" California.",,,
" ” I couldn’t believe such a bleached-out "" tumbleweeded "" rascuache sprawl was even part of California !", Punct Eng Eng Eng Eng Spn Eng Punct Eng Punct Spn Eng Eng Eng Eng Eng NamedEnt,,""" I couldn't believe such a bleached-out "" tumbleweeded "" rascuache sprawl was even part of California !",,,
 ¿Pero sabes qué ?, Spn Spn Spn,,But you know what?,,,
 What did I know ?, Eng Eng Eng Eng,,What did I know ?,,,
" Lo único del southland que conocía up to then eran los lush orange groves and suburban lawns del San Fernando Valley de mi infancia "" before we moved north por el glaucoma de daddy "" y para que yo y mis hermanas wouldn’t turn into Valley Girls .", Spn Spn Spn Eng Spn Spn Eng Eng Eng Spn Spn Eng Eng Eng Eng Eng Eng Spn NamedEnt NamedEnt Eng Spn Spn Spn Punct Eng Eng Eng Eng Spn Spn Spn Spn Eng Punct Spn Spn Spn Spn Spn Spn Spn Eng Eng Eng Eng NamedEnt,,"The only thing from the Southland I knew up to then were the lush orange groves and suburban lawns of the San Fernando Valley from my childhood ""before we moved north through daddy's glaucoma"" and so that me and my sisters wouldn't turn into Valley Girls.",,,
" Y San Diego "" donde mis abuelos .", Spn NamedEnt NamedEnt Punct Spn Spn Spn,,"And San Diego"" where my grandparents.",,,
 Pero eso era otra cosa ., Spn Spn Spn Spn Spn,,But that was something else.,,,
 Tropical ., Eng,,Tropical .,,,
" Anyway "" ¿qué remedio ?", NamedEnt Punct Spn Spn,,"Anyway "" what remedy ?",,,
" Here I was "" pero it’s not like you can look a gift cabasho en la boca "" right ?", Eng Eng Eng Punct Spn Eng Eng Eng Eng Eng Eng Spn Eng Spn Spn Spn Spn Punct Eng,,"Here I was "" but it's not like you can look a gift cabasho in the mouth "" right ?",,,
" En cuanto a academic jobs "" digo .", Spn Spn Spn Eng Eng Punct Spn,,"As for academic jobs"" I say .",,,
 Especially una ternura-track job en tu field—poetry — en un nationally-ranked ( como recalcaría mom ) liberal arts college ., Eng Spn Spn Eng Spn Spn Eng Punct Spn Spn Eng Punct Spn Spn Eng Punct Eng Eng Eng,,Especially a tender track job in your faithful-poetry - in a nationally-ranked (as mom would stress) liberal arts college.,,,
" Y especiallyconsiderando que yo era una single mother "" A.B.D. Simón "" “ All-But-Dissertation .", Spn Spn Spn Spn Spn Spn Eng Eng Punct Spn NamedEnt Punct Punct Eng,,"And especially considering that I was a single mother "" A.B.D. Simon "" "" All-But-Dissertation .",,,
" ” So close "" pero sooooo far "" todavía "" del finish line .", Punct Eng Eng Punct Spn Eng Eng Punct Spn Punct Spn Eng Eng,,"""So close"" but sooooo far from the finish line.",,,
" Conque I knew this job was a once-in-alifetime chollo and chingao "" girl "" you better take it and be grateful .", NamedEnt Eng Eng Eng Eng Eng Spn Eng Spn Eng Spn Punct Eng Punct Eng Eng Eng Eng Eng Eng Eng,,"So I knew this job was a once-in-alifetime chollo and chingao "" girl "" you better take it and be grateful .",,,
 Smog or no smog ., NamedEnt Eng Spn Eng,,Smog or no smog .,,,
" So "" cual no era my surprise "" when I went down al Evil para buscar housing en late spring y al llegar "" en el rental car "" to the eerily bucolic "" suburban ( pero como que no : con sus Craftsman cottages and ancient trees and too much quiet it resembled "" oddly "" more like a town out of a Tennessee Williams play que un lugar en Califas ) pueblo de Claremont "" vi "" in the central island that divided a wide "" four-lane suburban avenue a stand of mature "" baroquely blooming jacarandas "" as far as my eye could see .", Eng Punct Spn Spn Spn Eng Eng Punct Eng Eng Eng Eng Spn Eng Spn Spn Eng Spn Eng Eng Spn Spn Spn Punct Spn Spn Eng Eng Punct Eng Eng Eng Eng Punct Eng Punct Spn Spn Spn Spn Punct Spn Spn Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Punct Eng Punct Eng Eng Spn Eng Eng Eng Spn NamedEnt NamedEnt Eng Spn Spn Spn Spn Spn Punct Spn Spn NamedEnt Punct Spn Punct Eng Eng Eng Eng Eng Eng Spn Eng Punct Eng Eng Spn Spn Eng Eng Eng Punct Eng Eng Spn Punct Eng Eng Eng Eng Eng Eng Eng,,"So ""what was not my surprise"" when I went down to the Evil to look for housing in late spring and when I arrived ""in the rental car"" to the eerily bucolic ""suburban"" (but like that not: with its Craftsman cottages and ancient trees and too much quiet it resembled ""oddly"" more like a town out of a Tennessee Williams play than a place in Califas) Claremont town ""vi"" in the central island that divided a wide ""four-lane suburban avenue a stand of mature ""baroquely blooming jacarandas"" as far as my eye could see.",,,
" Y te juro que right then and there "" como que decidí que it was gonna be OK .", Spn Spn Spn Spn Eng Eng Eng Eng Punct Spn Spn Spn Spn Eng Eng Eng Eng Spn,,"And I swear right then and there "" like I decided it was gonna be OK.",,,
 Living there ., Eng Eng,,Living there .,,,
" Digo "" here .", Spn Punct Eng,,"I say "" here .",,,
" Bueno "" y just guess qué es lo que abunda "" qué representa la idiosincracia misma de Buenos Aires "" according to the porteños ?", Spn Punct Spn Eng Eng Spn Spn Spn Spn Spn Punct Spn Spn Spn Spn Spn Spn NamedEnt NamedEnt Punct Eng Eng Eng Spn,,"Well ""and just guess what abounds"" what represents the very idiosyncrasy of Buenos Aires ""according to the porteños ?",,,
 You got it : los jacarandaes ., Eng Eng Eng Punct Spn Spn,,You got it : the jacarandaes .,,,
" Esta vez "" I wasn’t alone .", Spn Spn Punct Eng Eng Eng,,"This time ""I wasn't alone .",,,
" Happily “ en pareja "" ” como dicen en la Argentina y con el Juvenile in tow "" I was actually bien apprehensive I wouldn’t be able to muster enough of my signature angst "" harness esa imprescindible sensación de dis/locación "" de otredad which has dogged/blessed me toda la vida .", NamedEnt Punct Spn Spn Punct Punct Spn Spn Spn Spn NamedEnt Spn Spn Spn NamedEnt Eng Eng Punct Eng Eng Eng Spn Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Spn Punct Eng Spn Spn Spn Spn Spn Punct Spn Spn Eng Eng Eng Spn Spn Spn Spn,,"Happily ""in couple"" as they say in Argentina and with the Juvenile in tow ""I was actually well apprehensive I wouldn't be able to muster enough of my signature angst"" harnessing that essential sense of dis/location"" of otherness which has dogged/blessed me all my life.",,,
" Pero not to worry : lamento ( o celebro ) confirmar que Buenos Aires "" de por sí "" is one of the most anxious "" neurotic latitudes en el mundo .", Spn Eng Eng Eng Punct Spn Punct Spn Spn Punct Spn Spn NamedEnt NamedEnt Punct Spn Spn Spn Punct Eng Eng Eng Eng Eng Eng Punct Eng Spn Spn Spn Spn,,"But not to worry: I am sorry (or glad) to confirm that Buenos Aires ""in itself"" is one of the most anxious ""neurotic latitudes"" in the world.",,,
" And "" hablando de latitudes : como thunderbolt it hit me "" cuando Pierre—on our first day out — encontró el departamento idóneo .", Eng Punct Spn Spn Spn Punct Spn Eng Eng Eng Spn Punct Spn NamedEnt Eng Eng Eng Eng Punct Spn Spn Spn Eng,,"And "" speaking of latitudes : how thunderbolt it hit me "" when Pierre-on our first day out - found the right apartment .",,,
 .,,,.,,,
 .,,,.,,,
 right en la very same street del Jardín Botánico ., Eng Spn Spn Eng Eng Eng Spn Spn NamedEnt,,right in the very same street of the Botanical Garden.,,,
" Gente "" it’s TRUE .", Spn Punct Eng Eng,,"People "" it's TRUE .",,,
 Mi sueño hecho reality : I was going to live in the mero corazón de Cortázar- and Borges-landia ., Spn Spn Spn Eng Punct Eng Eng Eng Eng Eng Eng Eng Spn Spn Spn NamedEnt Eng Spn,,My dream come true : I was going to live in the very heart of Cortázar- and Borges-landia .,,,
" Just blocks from "" de hecho "" the four corners Borges enshrines in his famous poem "" “ Fundación mítica de Buenos Aires ” : “ Guatemala "" Serrano "" Paraguay "" Gurruchaga .", Eng Eng Eng Punct Spn Spn Punct Eng Eng Eng NamedEnt Spn Eng Eng Eng Spn Punct Punct Spn Spn Spn NamedEnt NamedEnt Punct Punct Punct NamedEnt Punct NamedEnt Punct NamedEnt Punct NamedEnt,,"Just blocks from "" de hecho "" the four corners Borges enshrines in his famous poem "" "" Fundación mítica de Buenos Aires "" : "" Guatemala "" Serrano "" Paraguay "" Gurruchaga .",,,
" ” Writing now ( aunque es casi imposible dar crédito "" volver a ese estado previo : my un-knowingBuenos Aires ) "" I am pierced by the memory of my ignorance—qué pendeja "" no ?", Punct Eng Eng Punct Spn Spn Spn Spn Spn Spn Punct Spn Spn Spn Spn Eng Punct Eng Spn NamedEnt Punct Punct Eng Eng Eng Eng Eng Eng Eng Eng Spn Spn Punct Spn,,"Writing now (although it's almost impossible to give credit to) ""I am pierced by the memory of my ignorance-what a bitch,"" right?",,,
 Pero how the hell was I to know ?, Spn Eng Eng Eng Eng Eng Eng Eng,,But how the hell was I to know ?,,,
" — when I taught that poem "" creo que por primera vez "" en el ‘ 98 "" I think it was .", Punct Eng Eng Eng Eng Spn Punct Spn Spn Spn Spn Spn Punct Spn Spn Punct Spn Punct Eng Eng Eng Eng,,"- when I taught that poem ""I think for the first time"" in '98"" I think it was .",,,
" How could I not have known and ever called myself—or "" anygüey "" allowed myself to be called—a specialist in Argentine literature ?", Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Punct Spn Punct Eng Eng Eng Eng Eng Eng Eng NamedEnt Eng,,"How could I not have known and ever called myself-or ""anygüey"" allowed myself to be called-a specialist in Argentine literature ?",,,
 I cringe !, Eng Spn,,I cringe !,,,
" No tener idea de algo tan fundamental—especially for Borges—tan sencillo "" of course "" once you’re there : what I had thought were10 random country names "" Basque surnames son ni más ni menos que street names en Borges’s old stomping grounds "" lo que ahora se llama el trendísimo Palermo Viejo .", Spn Spn Eng Spn Spn Spn Eng Eng NamedEnt Spn Punct Eng Eng Punct Eng Spn Eng Punct Eng Eng Eng Eng Eng Eng Eng Eng Punct NamedEnt Eng Spn Spn Spn Spn Spn Spn Eng Eng Spn NamedEnt Eng Eng Eng Punct Spn Spn Spn Spn Spn Spn Spn NamedEnt Spn,,"To have no idea of something so fundamental-specially for Borges-so simple "" of course "" once you're there : what I had thought were10 random country names "" Basque surnames are nothing less than street names in Borges's old stomping grounds "" what is now called the trendy Palermo Viejo .",,,
" I had even asked my student "" Alelí "" an authenticporteña "" pero having grown up en los northern suburbs "" en Victoria "" ella no tenía clue tampoco .", Eng Eng Eng Eng Eng Eng Punct Spn Punct Eng Eng Punct Spn Eng Eng Eng Spn Spn Eng Eng Punct Spn NamedEnt Punct Spn Spn Spn Eng Spn,,"I had even asked my student ""Alelí"" an authentic porteña but having grown up in the northern suburbs"" in Victoria"" she didn't have a clue either.",,,
 So maybe I shouldn’t feel so bad ., Eng Eng Eng Eng Eng Eng Eng,,So maybe I shouldn't feel so bad.,,,
 .,,,.,,,
 .,,,.,,,
" Tan sencillo "" once you’re there .", Spn Spn Punct Eng Spn Eng,,"So simple "" once you're there .",,,
 And perhaps onlyif you’re there ., Eng Eng Eng Spn Eng,,And perhaps only if you're there.,,,
 .,,,.,,,
 .,,,.,,,
" So "" qué es lo que esto nos dice about borders "" identidades "" transnational studies "" about the end of nationalisms "" sobre el supposedly-shrinking global mundo ?", Eng Punct Spn Spn Spn Spn Spn Spn Spn Eng Eng Punct Spn Punct Eng Eng Punct Eng Eng Eng Eng Eng Punct Spn Spn Eng Eng Spn,,"So ""what does this tell us about borders "" identities "" transnational studies "" about the end of nationalisms "" about the supposedly-shrinking global world ?",,,
 Shrinking para quién ?, NamedEnt Spn Spn,,Shrinking for whom?,,,
 My ascendent in Sagittarius me confirma y reitera un destino peregrino ., Eng Spn Eng NamedEnt Spn Spn Spn Spn Spn Spn Spn,,My ascendant in Sagittarius confirms and reiterates a pilgrimage destination for me.,,,
" Ay "" utópica .", Spn Punct Spn,,"Alas"" utopian.",,,
" Yes "" ou-topos .", NamedEnt Punct Spn,,"Yes "" ou-topos .",,,
" Not out of this mundo "" sino no-place .", Eng Eng Eng Eng Spn Punct Spn Eng,,"Not out of this world "" but non-place .",,,
" Bueno "" no oneplace "" quizás .", Spn Punct Spn Eng Punct Spn,,"Well ""no oneplace"" maybe.",,,
 It’s all about place ., Eng Eng Eng Eng,,It's all about place.,,,
 ( Sé que me contradigo ; no me retes ., Punct Spn Spn Spn Spn Punct Spn Spn Spn,,(I know that I contradict myself; don't challenge me.,,,
" ) Y mi lugar—my secret garden "" si querés—was "" for thirteen angst and revelation-filled months "" ese fading beauty "" onetime departamento de lujo "" donde los padres de la Dra .", Punct Spn Spn Spn Eng Eng Punct Spn Spn Punct Eng Eng Spn Eng Eng Eng Punct Spn Eng Eng Punct Eng Spn Spn Spn Punct Spn Spn Spn Spn Spn Spn,,") And my place-my secret garden ""si querés-was"" for thirteen angst and revelation-filled months ""that fading beauty ""onetime deluxe apartment"" where Dr..",,,
" Lustig de Ferrer la habían criado "" after fleeing Austria in the Holocaust "" al Sur .", NamedEnt Spn NamedEnt Spn Spn Spn Punct Eng Eng NamedEnt Eng Eng NamedEnt Punct Spn Spn,,"Lustig de Ferrer had raised her ""after fleeing Austria in the Holocaust"" in the South.",,,
" Escribí a todo dar "" mano .", Spn Spn Spn Spn Punct Spn,,"I wrote all over the place ""hand.",,,
" Even with the Juvenile coming home from school for lunch every day "" even having to wash clothes en esa tiny "" casi breaking down lavadora and dry them en ese bizarre gas closet en la cocina "" que yo pensé all Argentines must have "" hasta que Gustavo vino de La Plata y me dijo no way !", Eng Eng Eng NamedEnt Eng Eng Eng Eng Eng Eng Eng Eng Punct Eng Eng Eng Eng Eng Spn Spn Eng Punct Spn Eng Eng Spn Eng Eng Eng Spn Spn Eng Eng Eng Spn Spn Spn Punct Spn Spn Spn Eng NamedEnt Eng Eng Punct Spn Spn NamedEnt Spn Spn Spn NamedEnt Spn Spn Spn Spn Eng,,"Even with the Juvenile coming home from school for lunch every day "" even having to wash clothes in that tiny "" almost breaking down washing machine and dry them in that bizarre gas closet in the kitchen "" that I thought all Argentines must have "" until Gustavo came from La Plata and told me no way!",,,
 Definitely not !, Eng Eng,,Definitely not !,,,
" Que eso era una especie de artefacto "" antique "" primitive .", Spn Spn Spn Spn Spn Spn Spn Punct Eng Punct Spn,,"That it was some kind of ""antique"" primitive artifact.",,,
" Escribí a pesar de no tener mucama "" a fact that astounded a casi todas mi amigas who—no obstante “ la crisis”—steadfastly continued to employ a domestic servant .", Spn Spn Spn Spn Spn Spn Spn Punct Spn Eng Eng Eng Spn Spn Spn Spn Spn Eng Spn Punct Spn Eng Eng Eng Eng Spn Eng Eng,,"I wrote, despite not having a maid, ""a fact that astounded almost all my friends who, despite the ""crisis"", steadfastly continued to employ a domestic servant.",,,
" Al menos unas horitas por semana "" ¿eh Susi ?", Spn Spn Spn Spn Spn Spn Punct Spn NamedEnt,,"At least a few hours a week "" eh Susi ?",,,
" Escribí no obtante o—digámoslo claro de una puta vez—precisely because of esa constante "" opresiva humedad porteña .", Spn Spn Spn Spn Spn Spn Spn Spn Spn Eng Eng Spn Spn Punct Spn Spn Spn,,"I wrote not getting or-let's get this straight once-precisely because of that constant ""oppressive Buenos Aires humidity.",,,
" I mean "" not only after los “ estragos acuáticos ” ( as I hyper-dramatically termed the bursting de las ancient cañerías en el departamento de arriba — while we were out of the country—y sus consecuencias : moho and water damage "" un olor a Mississippi that would dog that apartment for the next seven months "" a veces más "" a veces menos "" like our own private weather system ) sino every day .", Eng Eng Punct Eng Eng Eng Spn Punct Spn Spn Punct Punct Eng Eng Eng Eng Eng Eng Spn Spn Eng Spn Spn Spn Spn Spn Spn Punct Eng Eng Eng Eng Eng Eng Eng Spn Spn Punct Spn Eng Eng Eng Punct Spn Spn Spn NamedEnt Eng Eng Eng Eng Eng Eng Eng Eng Eng Eng Punct Spn Spn Spn Punct Spn Spn Spn Punct Eng Eng Eng Eng Eng Eng Punct Spn Eng Eng,,"I mean "" not only after the "" water ravages "" ( as I hyper-dramatically termed the bursting of the ancient pipes in the apartment above - while we were out of the country- and its consequences : mold and water damage "" a smell of Mississippi that would dog that apartment for the next seven months "" sometimes more "" sometimes less "" like our own private weather system ) but every day .",,,
" Una especie de damp my Califas- "" Spain- and Africa-habituated cuerpo was simply not built for .", Spn Spn Spn Eng Eng NamedEnt Punct NamedEnt Eng Eng Spn Eng Eng Eng Eng Eng,,"A kind of damp my Califas- "" Spain- and Africa-habituated body was simply not built for .",,,
" Una humedad that all ( five months of ) summer turns the soft "" dense pile of the unusual—for Argentina—wall-to-wall moqueta into a spongey pantano underfoot "" that wilts even freshly-laundered and dried-for-hours toallas into an hongoladen miasma "" that frizzes and puffs hair heavenward y causa que cualquier mosquito bite "" thumbnail size at worst in a normal climate "" se convierta en throbbing huevo de avestruz "" y para peor "" te pone unos gross michelines tipo watermelon rodante .", Spn Spn Eng Eng Punct Eng Eng Eng Punct Eng Eng Eng Eng Punct Spn Eng Eng Eng Eng NamedEnt Spn Eng Spn Eng Spn Eng Punct Eng Eng Eng Eng Eng Eng Spn Eng Eng Spn Spn Punct Eng Eng Eng Spn Eng Eng Spn Spn Spn Spn Spn Eng Punct Eng Eng Eng Eng Eng Spn Eng Eng Punct Spn Spn Spn Eng Spn Spn Spn Punct Spn Spn Spn Punct Spn Spn Spn Eng Eng Spn Eng Spn,,"A humidity that all ( five months of ) summer turns the soft "" dense pile of the unusual-for Argentina-wall-to-wall carpet into a spongey swamp underfoot "" that wilts even freshly-laundered and dried-for-hours towels into an hongoladen miasma "" that frizzes and puffs hair heavenward and causes any mosquito bite "" thumbnail size at worst in a normal climate "" to turn into throbbing ostrich eggs "" and for worse "" puts you in a gross rolling watermelon type of fungus.",,,
" Luckily "" this indignity I was able to suffer con el stalwart del Pablo Zambrano quien "" pobrecito "" had chosen to visit from Spain en febrero which is "" a diferencia de lo que pregona Eliot "" thetruecruelest month .", NamedEnt Punct Eng Spn Eng Eng Eng Eng Eng Spn Spn Eng Spn NamedEnt NamedEnt Spn Punct Spn Punct Eng Eng Eng Eng Eng NamedEnt Spn Spn Eng Eng Punct Spn Spn Spn Spn Spn Spn NamedEnt Punct Spn Eng,,"Luckily "" this indignity I was able to suffer with the stalwart of Pablo Zambrano who ""poor thing"" had chosen to visit from Spain in February which is "" unlike what Eliot proclaims "" thetruecruelest month .",,,
" All during February Pablo and I pinched our sides and complained "" horrorizados "" de cómo no nos entraba nuestra ropa normal .", Eng Eng NamedEnt NamedEnt Eng Eng Spn Eng Eng Eng Eng Punct Spn Punct Spn Spn Spn Spn Spn Spn Spn Eng,,"All during February Pablo and I pinched our sides and pleased ""horrified"" that our normal clothes did not fit.",,,
" En vez "" even the most unfashionably generous-sized attire poked and jabbed "" clung and chafed "" haciendo que una de nuestras actividades predilectas fuera tomar vaso tras vaso de vino tinto "" sentados en el skinny bed de su cuarto—el cuarto “ de la mucama "" ” just off the kitchen—hojeando nostálgicamente ( y cotilleando "" if truth be told "" sobre los ever more collagen-puffed labios de nuestra adorada Melanie "" o el definitely receding hairline del Tony Flags ) slightly outdated copies of el Hola "" purchased for outlandishly jacked-up prices en nuestro kiosko on Las Heras .", Spn Spn Punct Eng Eng Eng Eng Eng Eng Eng Eng Eng Punct Spn Eng Spn Punct Spn Spn Spn Spn Spn Spn Spn Spn Spn Spn Spn Spn Spn Spn Spn Punct Spn Spn Spn Eng Eng Spn Spn Spn Spn Punct Spn Spn Spn Punct Punct Eng Eng Eng Eng Spn Punct Spn Spn Punct Eng Eng Eng Eng Punct Spn Spn Eng Eng Eng Spn Spn Spn Spn NamedEnt Punct Spn Spn Eng Eng Eng Spn NamedEnt NamedEnt Punct Eng Eng Eng Eng Spn NamedEnt Punct Eng Eng Eng Eng Eng Spn Spn Spn Eng Spn NamedEnt,,"Instead "" even the most unfashionably generous-sized attire poked and jabbed "" clung and chafed "" making it one of our favorite activities to drink glass after glass of red wine "" sitting on the skinny bed of her room- the maid's room "" "" just off the kitchen-hopping nostalgically (and gossiping "" if truth be told "" about the ever more collagen-puffed lips of our beloved Melanie "" or the definitely receding hairline of Tony Flags ) slightly outdated copies of the Hola "" purchased for outlandishly jacked-up prices at our kiosk on Las Heras .",,,
" En fin escribí "" exquisitely conscious de que esto no era la vida .", Spn Spn Spn Punct Eng Eng Spn Spn Spn Spn Spn Spn Spn,,"Anyway, I wrote ""exquisitely aware that this was not life.",,,
" I mean "" no era mivida .", Eng Eng Punct Spn Spn Spn,,"I mean ""I wasn't mivida.",,,
" Como dijo anoche la poeta Carol Muske-Dukes en un reading de su nuevo libro Sparrow "" about living con su marido ( he was an actor ) : life with him wasn’t normal "" and I knew it .", Spn Spn Spn Spn Spn NamedEnt Eng Spn Spn Eng Spn Spn Spn Spn NamedEnt Punct Eng Eng Spn Spn Spn Punct Eng Eng Eng Spn Punct Punct Eng Eng Eng Eng Eng Punct Eng Eng Eng Eng,,"As the poet Carol Muske-Dukes said last night in a reading of her new book Sparrow ""about living with her husband (he was an actor): life with him wasn't normal"" and I knew it.",,,
" En Buenos Aires "" yo poseía una12 heightened sense of awareness "" the poignancy of imminent loss .", Spn NamedEnt NamedEnt Punct Spn Spn Spn Eng Eng Eng Eng Punct Eng Eng Eng Eng Eng,,"In Buenos Aires ""I possessed a12 heightened sense of awareness"" the poignancy of imminent loss .",,,
" Casi todos los días en República Arabe Siria 2847 "" 3ºB se constituían como un festín .", Spn Spn Spn Spn Spn Spn NamedEnt NamedEnt Spn Punct Spn Spn Spn Spn Spn Spn,,"Almost every day in Syrian Arab Republic 2847 "" 3ºB were constituted as a feast .",,,
 Nothing felt routine ., Eng Eng Eng,,Nothing felt routine .,,,
 Ni siquiera una visita a la dentista ., Spn Spn Spn Spn Spn Spn Spn,,Not even a visit to the dentist.,,,
" Especiallyuna visita a la dentista "" who confidently informed me que no podía usar ese supersonic cleaning gadget on me más de dos veces por año "" o si no los laser rays or whatever would damage my teeth ( luego "" mi dentista libanés en California would tell me that was crazy "" pero that’s another story .", NamedEnt Spn Spn Spn Spn Punct Eng Eng Eng Spn Spn Spn Spn Spn Spn Eng Eng Eng Eng Spn Spn Spn Spn Spn Spn Spn Punct Spn Spn Spn Spn Eng Eng Eng Eng Eng Eng Eng Eng Punct Spn Punct Spn Spn Spn Spn NamedEnt Eng Eng Spn Eng Eng Eng Punct Spn Eng Eng Eng,,"Especiallyuna visit to the dentist "" who confidently informed me that I could not use that supersonic cleaning gadget on me more than twice a year "" or else the laser rays or whatever would damage my teeth ( then "" my Lebanese dentist in California would tell me that was crazy "" but that's another story .",,,
 .,,,.,,,
 .,,,.,,,
 ) ., Punct,,) .,,,
" En Buenos Aires "" habitaba un espacio in-between .", Spn NamedEnt NamedEnt Punct Spn Spn Spn Eng,,"In Buenos Aires "" I lived in an in-between space.",,,
 Elsewhere ., NamedEnt,,Elsewhere .,,,
 Pero quizás por esto mismo I claimed it so fiercely as mine ., Spn Spn Spn Spn Spn Eng Eng Eng Eng Eng Eng Eng,,But perhaps this is why I claimed it so fiercely as mine .,,,
 Or maybe it claimed me ., Eng Eng Eng Eng Spn,,Or maybe it claimed me .,,,
" So different from when I lived in Spain "" en la secundaria .", Eng Eng Eng Eng Eng Eng Eng NamedEnt Punct Spn Spn Spn,,"So different from when I lived in Spain"" in high school.",,,
" De teenager "" me regocijaba when my foreignness was apparent .", Spn Eng Punct Spn Spn Eng Eng Eng Eng Eng,,"From teenager "" I rejoiced when my foreignness was apparent .",,,
" Angry at my parents for uprooting me en la cúspide of what would be "" alas "" una short-lived y sólo semi-popularidad "" I turned upon the foreign country toda la rabia y el veneno de mi terca ( in)diferencia .", NamedEnt Eng Eng Eng Eng Eng Spn Spn Spn Spn Eng Eng Eng Eng Punct Spn Punct Spn Eng Spn Spn Spn Punct Eng Eng Eng Eng Eng Eng Spn Spn Spn Spn Spn Spn Spn Spn Spn Punct Spn,,"Angry at my parents for uprooting me on the cusp of what would be ""wings"" a short-lived and only semi-popularity"" I turned upon the foreign country all the rage and poison of my stubborn ( in)difference .",,,
" Pero en Buenos Aires ( y OJITO : eso que before I moved there "" casi los únicos argentinos who’d impressed me favorably were either in books or dead or both .", Spn Spn NamedEnt NamedEnt Punct Spn NamedEnt Punct Spn Spn Eng Eng Eng Eng Punct Spn Spn Spn Spn Eng Eng Spn Eng Eng Eng Eng Eng Eng Eng Eng Eng,,"But in Buenos Aires (and OJITO : that before I moved there "" almost the only Argentinians who'd impressed me were either in books or dead or both .",,,
 .,,,.,,,
 .,,,.,,,
 ) I realized que nunca me había sentido más ., Punct Eng Eng Spn Spn Spn Spn Spn Spn,,) I realized that I had never felt more.,,,
 .,,,.,,,
 .,,,.,,,
" qué sé sho—and I know que es medio cursi y trillado "" pero—más yo misma .", Spn Spn Eng Eng Eng Spn Spn Spn Spn Spn Spn Punct Spn Spn Spn,,"what I know sho-and I know it's kind of cheesy and trite ""but-more me.",,,
 Y ., Spn,,Y .,,,
 .,,,.,,,
 .,,,.,,,
